group,home_team,away_team,date,tournament,home_elo,away_elo,elo_diff,home_injury_flag,away_injury_flag,p_home_win,p_draw,p_away_win
H,Spain,Uruguay,,FIFA World Cup 2026 - Group,2155,1892.0,263.0,0,0,0.540659128431742,0.20352732428176257,0.2558135472864954
H,Spain,Saudi Arabia,,FIFA World Cup 2026 - Group,2155,1569.0,586.0,0,0,0.716827258875039,0.15570082562374876,0.12747191550121223
H,Spain,Cape_Verde,,FIFA World Cup 2026 - Group,2155,1576.0,579.0,0,0,0.8141177689167112,0.134514872526306,0.05136735855698284
H,Uruguay,Saudi Arabia,,FIFA World Cup 2026 - Group,1892,1569.0,323.0,0,0,0.5899051794626518,0.18838638911179628,0.22170843142555197
H,Uruguay,Cape_Verde,,FIFA World Cup 2026 - Group,1892,1576.0,316.0,0,0,0.7519253165476768,0.14780383095207122,0.10027085250025196
H,Saudi Arabia,Cape_Verde,,FIFA World Cup 2026 - Group,1569,1576.0,-7.0,0,0,0.6015211105217411,0.18505114555849586,0.213427743919763
I,France,Senegal,,FIFA World Cup 2026 - Group,2062,1867.0,195.0,0,0,0.6398052524819029,0.174607640848159,0.1855871066699382
I,France,Norway,,FIFA World Cup 2026 - Group,2062,1917.0,145.0,0,0,0.7387392186680338,0.15072798537932067,0.11053279595264551
I,France,Iraq,,FIFA World Cup 2026 - Group,2062,1618.0,444.0,0,0,0.7988335671545398,0.13852843806552098,0.06263799477993942
I,Senegal,Norway,,FIFA World Cup 2026 - Group,1867,1917.0,-50.0,0,0,0.5211476907999991,0.2100327790091129,0.268819530190888
I,Senegal,Iraq,,FIFA World Cup 2026 - Group,1867,1618.0,249.0,0,0,0.6468612084225354,0.17289867367936992,0.1802401178980948
I,Norway,Iraq,,FIFA World Cup 2026 - Group,1917,1618.0,299.0,0,0,0.5131874164352933,0.21361407534466256,0.2731985082200443
J,Argentina,Austria,,FIFA World Cup 2026 - Group,2113,1830.0,283.0,0,0,0.6834005805384318,0.163605086885442,0.15299433257612627
J,Argentina,Algeria,,FIFA World Cup 2026 - Group,2113,1760.0,353.0,0,0,0.7828200052723153,0.14111901491005283,0.07606097981763185
J,Argentina,Jordan,,FIFA World Cup 2026 - Group,2113,1685.0,428.0,0,0,0.8413442638153208,0.12880371520902514,0.02985202097565406
J,Austria,Algeria,,FIFA World Cup 2026 - Group,1830,1760.0,70.0,0,0,0.559625052422883,0.197491931032858,0.24288301654425906
J,Austria,Jordan,,FIFA World Cup 2026 - Group,1830,1685.0,145.0,0,0,0.7317258286614976,0.15230344287914485,0.11597072845935756
J,Algeria,Jordan,,FIFA World Cup 2026 - Group,1760,1685.0,75.0,0,0,0.595749700067103,0.18669792314856135,0.21755237678433564
K,Portugal,Colombia,,FIFA World Cup 2026 - Group,1984,1977.0,7.0,0,0,0.6072184670008933,0.18344502705199883,0.20933650594710781
K,Portugal,Uzbekistan,,FIFA World Cup 2026 - Group,1984,1718.0,266.0,0,0,0.8105671702441631,0.13525906595448794,0.054173763801348966
K,Portugal,DR Congo,,FIFA World Cup 2026 - Group,1984,1661.0,323.0,0,0,0.7317258286614976,0.15230344287914485,0.11597072845935756
K,Colombia,Uzbekistan,,FIFA World Cup 2026 - Group,1977,1718.0,259.0,0,0,0.7048690263024368,0.15848135411333475,0.1366496195842285
K,Colombia,DR Congo,,FIFA World Cup 2026 - Group,1977,1661.0,316.0,0,0,0.5469246681300189,0.2031357856367878,0.24993954623319337
K,Uzbekistan,DR Congo,,FIFA World Cup 2026 - Group,1718,1661.0,57.0,0,0,0.24147588679015697,0.19233135156244346,0.5661927616473996
L,England,Croatia,,FIFA World Cup 2026 - Group,2020,1908.0,112.0,0,0,0.5658179151608549,0.19557864843856235,0.23860343640058276
L,England,Ghana,,FIFA World Cup 2026 - Group,2020,1510.0,510.0,0,0,0.7828200052723153,0.14111901491005283,0.07606097981763185
L,England,Panama,,FIFA World Cup 2026 - Group,2020,1734.0,286.0,0,0,0.8089846887764609,0.1366094533786784,0.05440585784486058
L,Croatia,Ghana,,FIFA World Cup 2026 - Group,1908,1510.0,398.0,0,0,0.6788725074737957,0.16470895491542517,0.1564185376107792
L,Croatia,Panama,,FIFA World Cup 2026 - Group,1908,1734.0,174.0,0,0,0.7286860693306451,0.15205532276781067,0.11925860790154415
L,Ghana,Panama,,FIFA World Cup 2026 - Group,1510,1734.0,-224.0,0,0,0.4515030091668751,0.23175696235838752,0.31674002847473737
